Background samples,,,,,,
Person,Short name,Cross section [pb],Lumi weight [pb^-1],Events weighted,Sample name,Comment
Thomas,MC_ST_t-channel_top_4f_inclusiveDecays.xml,136.0200,44063.888,5993570,/ST_t-channel_top_4f_inclusiveDecays_TuneCUETP8M2T4_13TeV-powhegV2-madspin/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV*/MINIAODSIM,
Thomas,MC_ST_t-channel_antitop_4f_inclusiveDecays.xml,80.9500,48523.533,3927980,/ST_t-channel_antitop_4f_inclusiveDecays_TuneCUETP8M2T4_13TeV-powhegV2-madspin/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,Didn't work on 26/12
Daniel G,ST_tW_top_5f_inclusiveDecays_13TeV,35.6000,195025.478,6942907,/ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Daniel G,ST_tW_antitop_5f_inclusiveDecays_13TeV,35.6000,194744.466,6932903,/ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Daniel G,ST_s-channel_4f_leptonDecays_13TeV,3.3600,1003149.359,"3,370,582",/ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Anastasia,MC_TT_TuneCUETP8M2T4,831.7600,92847.910,77227178,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Anastasia,MC_TT_TuneCUETP8M2T4_ext,831.7600,93695.440,77932119,/TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_backup_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,
,MC_TT_TuneCUETP8M2T4_both,831.7600,186543.350,155159297,,
Thomas,MC_TT_Mtt-700to1000 ,76.6050,498911.716,38219132,/TT_Mtt-700to1000_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Thomas,MC_TT_Mtt-1000toInf,20.5780,1189652.930,24480678,/TT_Mtt-1000toInf_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Dennis,MC_WJetsToLNu,61526.7000,59569753.488,3.67E+12,/WJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Daniel S,MC_WW,118.7000,8374.195,994017,/WW_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Daniel S,MC_WZ,47.1300,21005.792,990003,/WZ_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Daniel S,MC_ZZ,16.5230,60107.365,993154,/ZZ_TuneCUETP8M1_13TeV-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Doug,MC_QCD_Pt-20toInf_MuEnrichedPt15,302672.1600,72.995,22093506,/QCD_Pt-20toInf_MuEnrichedPt15_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
Dennis,MC_QCD_Pt-15to20_MuEnrichedPt5,3819570.0000,1.084,4141208,/QCD_Pt-15to20_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_*/MINIAODSIM,
